"Name"	"Score"
"drug_211.txt"	"drug_211.txt"	0.110790436655117
"drug_226.txt"	"drug_226.txt"	0.110790436655117
"drug_22.txt"	"drug_22.txt"	0.115188427208619
"drug_229.txt"	"drug_229.txt"	0.11610740840647
"drug_313.txt"	"drug_313.txt"	0.11610740840647
"drug_346.txt"	"drug_346.txt"	0.118844592873977
"drug_219.txt"	"drug_219.txt"	0.120123576120224
"drug_133.txt"	"drug_133.txt"	0.124480487156385
"drug_230.txt"	"drug_230.txt"	0.124480487156385
"drug_225.txt"	"drug_225.txt"	0.130337365793044
"drug_456.txt"	"drug_456.txt"	0.13129587509703
"drug_54.txt"	"drug_54.txt"	0.131819585106861
"drug_186.txt"	"drug_186.txt"	0.133350817477903
"drug_244.txt"	"drug_244.txt"	0.133350817477903
"drug_13.txt"	"drug_13.txt"	0.135352349773124
"drug_286.txt"	"drug_286.txt"	0.136422106956591
"drug_102.txt"	"drug_102.txt"	0.138956058648699
"drug_198.txt"	"drug_198.txt"	0.139552118914767
"drug_111.txt"	"drug_111.txt"	0.145961590586977
"drug_224.txt"	"drug_224.txt"	0.156114691938183
"drug_258.txt"	"drug_258.txt"	0.159616188749434
"drug_447.txt"	"drug_447.txt"	0.159616188749434
"drug_394.txt"	"drug_394.txt"	0.163182888252156
"drug_442.txt"	"drug_442.txt"	0.166815758181148
"drug_461.txt"	"drug_461.txt"	0.166815758181148
"drug_234.txt"	"drug_234.txt"	0.170515777003771
"drug_240.txt"	"drug_240.txt"	0.170811420368903
"drug_208.txt"	"drug_208.txt"	0.174283933999013
"drug_271.txt"	"drug_271.txt"	0.178312987803707
"drug_312.txt"	"drug_312.txt"	0.179095838168758
"drug_167.txt"	"drug_167.txt"	0.183818745794713
"drug_235.txt"	"drug_235.txt"	0.186007290653054
"drug_329.txt"	"drug_329.txt"	0.186007290653054
"drug_209.txt"	"drug_209.txt"	0.195171070091463
"drug_281.txt"	"drug_281.txt"	0.202654308468898
"drug_68.txt"	"drug_68.txt"	0.202654308468898
"drug_118.txt"	"drug_118.txt"	0.21593863486479
"drug_18.txt"	"drug_18.txt"	0.220524776307252
"drug_340.txt"	"drug_340.txt"	0.238585550168599
"drug_441.txt"	"drug_441.txt"	0.254956984313718
"drug_462.txt"	"drug_462.txt"	0.260222697146758
"drug_342.txt"	"drug_342.txt"	0.271026313460158
"drug_193.txt"	"drug_193.txt"	0.2765666997647
"drug_336.txt"	"drug_336.txt"	0.2765666997647
"drug_55.txt"	"drug_55.txt"	0.2765666997647
"drug_319.txt"	"drug_319.txt"	0.282201147843593
"drug_199.txt"	"drug_199.txt"	0.299681659529975
"drug_450.txt"	"drug_450.txt"	0.303726873218456
"drug_227.txt"	"drug_227.txt"	0.305705216268734
"drug_473.txt"	"drug_473.txt"	0.31077741411295
"drug_358.txt"	"drug_358.txt"	0.311032090313663
"drug_438.txt"	"drug_438.txt"	0.31182933062607
"drug_172.txt"	"drug_172.txt"	0.324384599561158
"drug_481.txt"	"drug_481.txt"	0.357627868652344
"drug_479.txt"	"drug_479.txt"	0.364605760248412
"drug_439.txt"	"drug_439.txt"	0.370259994817881
"drug_177.txt"	"drug_177.txt"	0.378902278361722
"drug_332.txt"	"drug_332.txt"	0.386223842142456
"drug_168.txt"	"drug_168.txt"	0.389446067522889
"drug_176.txt"	"drug_176.txt"	0.38955840379827
"drug_69.txt"	"drug_69.txt"	0.393662924207719
"drug_433.txt"	"drug_433.txt"	0.396473309464342
"drug_398.txt"	"drug_398.txt"	0.401221028764769
"drug_294.txt"	"drug_294.txt"	0.408899674415024
"drug_216.txt"	"drug_216.txt"	0.409228648851219
"drug_100.txt"	"drug_100.txt"	0.41355367054778
"drug_300.txt"	"drug_300.txt"	0.41518226967672
"drug_190.txt"	"drug_190.txt"	0.434442618877565
"drug_104.txt"	"drug_104.txt"	0.440850548906065
"drug_393.txt"	"drug_393.txt"	0.440850548906065
"drug_117.txt"	"drug_117.txt"	0.444280894054162
"drug_403.txt"	"drug_403.txt"	0.447140765423226
"drug_475.txt"	"drug_475.txt"	0.44915518926288
"drug_92.txt"	"drug_92.txt"	0.449651674628212
"drug_53.txt"	"drug_53.txt"	0.466155972292344
"drug_246.txt"	"drug_246.txt"	0.47485537397913
"drug_87.txt"	"drug_87.txt"	0.482648584342606
"drug_379.txt"	"drug_379.txt"	0.483689647108183
"drug_257.txt"	"drug_257.txt"	0.485032796859741
"drug_212.txt"	"drug_212.txt"	0.491463991534741
"drug_171.txt"	"drug_171.txt"	0.495572746979357
"drug_237.txt"	"drug_237.txt"	0.501769493611542
"drug_169.txt"	"drug_169.txt"	0.5062543315841
"drug_459.txt"	"drug_459.txt"	0.511018448582333
"drug_105.txt"	"drug_105.txt"	0.520132768881298
"drug_155.txt"	"drug_155.txt"	0.539152693384717
"drug_323.txt"	"drug_323.txt"	0.53962205769403
"drug_72.txt"	"drug_72.txt"	0.53962205769403
"drug_399.txt"	"drug_399.txt"	0.549447994428939
"drug_99.txt"	"drug_99.txt"	0.549575585522059
"drug_255.txt"	"drug_255.txt"	0.559422580610421
"drug_440.txt"	"drug_440.txt"	0.559422580610421
"drug_27.txt"	"drug_27.txt"	0.559647561315085
"drug_375.txt"	"drug_375.txt"	0.559647561315085
"drug_390.txt"	"drug_390.txt"	0.561799742384734
"drug_249.txt"	"drug_249.txt"	0.569547609868566
"drug_146.txt"	"drug_146.txt"	0.573338648624229
"drug_467.txt"	"drug_467.txt"	0.579824892016419
"drug_476.txt"	"drug_476.txt"	0.579824892016419
"drug_58.txt"	"drug_58.txt"	0.590256253147039
"drug_71.txt"	"drug_71.txt"	0.590256253147039
"drug_83.txt"	"drug_83.txt"	0.600843535730823
"drug_222.txt"	"drug_222.txt"	0.61158859871315
"drug_161.txt"	"drug_161.txt"	0.620936322703005
"drug_106.txt"	"drug_106.txt"	0.622493317612288
"drug_64.txt"	"drug_64.txt"	0.633197378887829
"drug_93.txt"	"drug_93.txt"	0.635631335692924
"drug_65.txt"	"drug_65.txt"	0.644789308688104
"drug_400.txt"	"drug_400.txt"	0.645603470749547
"drug_50.txt"	"drug_50.txt"	0.656184415651126
"drug_243.txt"	"drug_243.txt"	0.667746848301523
"drug_33.txt"	"drug_33.txt"	0.667746848301523
"drug_85.txt"	"drug_85.txt"	0.679206801419304
"drug_431.txt"	"drug_431.txt"	0.690192128107512
"drug_451.txt"	"drug_451.txt"	0.703457784926248
"drug_458.txt"	"drug_458.txt"	0.731224293993282
"drug_345.txt"	"drug_345.txt"	0.753535800079451
"drug_181.txt"	"drug_181.txt"	0.777665469765201
"drug_262.txt"	"drug_262.txt"	0.789455628245185
"drug_470.txt"	"drug_470.txt"	0.793013834028209
"drug_333.txt"	"drug_333.txt"	0.806550026446231
"drug_397.txt"	"drug_397.txt"	0.848319307062111
"drug_444.txt"	"drug_444.txt"	0.848319307062111
"drug_52.txt"	"drug_52.txt"	0.848319307062111
"drug_377.txt"	"drug_377.txt"	0.862636604842388
"drug_308.txt"	"drug_308.txt"	0.877154702577228
"drug_266.txt"	"drug_266.txt"	0.878768920898438
"drug_247.txt"	"drug_247.txt"	0.891875846948815
"drug_392.txt"	"drug_392.txt"	0.906802303439854
"drug_14.txt"	"drug_14.txt"	0.937280309341538
"drug_152.txt"	"drug_152.txt"	0.95283648466296
"drug_173.txt"	"drug_173.txt"	0.95283648466296
"drug_321.txt"	"drug_321.txt"	0.95283648466296
"drug_75.txt"	"drug_75.txt"	0.95283648466296
"drug_384.txt"	"drug_384.txt"	0.954752184364695
"drug_241.txt"	"drug_241.txt"	0.968607224136025
"drug_478.txt"	"drug_478.txt"	0.968607224136025
"drug_1.txt"	"drug_1.txt"	1
"drug_10.txt"	"drug_10.txt"	1
"drug_101.txt"	"drug_101.txt"	1
"drug_103.txt"	"drug_103.txt"	1
"drug_107.txt"	"drug_107.txt"	1
"drug_108.txt"	"drug_108.txt"	1
"drug_109.txt"	"drug_109.txt"	1
"drug_11.txt"	"drug_11.txt"	1
"drug_142.txt"	"drug_142.txt"	1
"drug_143.txt"	"drug_143.txt"	1
"drug_144.txt"	"drug_144.txt"	1
"drug_145.txt"	"drug_145.txt"	1
"drug_147.txt"	"drug_147.txt"	1
"drug_148.txt"	"drug_148.txt"	1
"drug_149.txt"	"drug_149.txt"	1
"drug_15.txt"	"drug_15.txt"	1
"drug_150.txt"	"drug_150.txt"	1
"drug_151.txt"	"drug_151.txt"	1
"drug_153.txt"	"drug_153.txt"	1
"drug_154.txt"	"drug_154.txt"	1
"drug_156.txt"	"drug_156.txt"	1
"drug_157.txt"	"drug_157.txt"	1
"drug_158.txt"	"drug_158.txt"	1
"drug_159.txt"	"drug_159.txt"	1
"drug_16.txt"	"drug_16.txt"	1
"drug_160.txt"	"drug_160.txt"	1
"drug_162.txt"	"drug_162.txt"	1
"drug_163.txt"	"drug_163.txt"	1
"drug_164.txt"	"drug_164.txt"	1
"drug_165.txt"	"drug_165.txt"	1
"drug_166.txt"	"drug_166.txt"	1
"drug_17.txt"	"drug_17.txt"	1
"drug_170.txt"	"drug_170.txt"	1
"drug_174.txt"	"drug_174.txt"	1
"drug_180.txt"	"drug_180.txt"	1
"drug_182.txt"	"drug_182.txt"	1
"drug_183.txt"	"drug_183.txt"	1
"drug_185.txt"	"drug_185.txt"	1
"drug_19.txt"	"drug_19.txt"	1
"drug_191.txt"	"drug_191.txt"	1
"drug_192.txt"	"drug_192.txt"	1
"drug_194.txt"	"drug_194.txt"	1
"drug_195.txt"	"drug_195.txt"	1
"drug_197.txt"	"drug_197.txt"	1
"drug_2.txt"	"drug_2.txt"	1
"drug_20.txt"	"drug_20.txt"	1
"drug_21.txt"	"drug_21.txt"	1
"drug_218.txt"	"drug_218.txt"	1
"drug_220.txt"	"drug_220.txt"	1
"drug_223.txt"	"drug_223.txt"	1
"drug_23.txt"	"drug_23.txt"	1
"drug_239.txt"	"drug_239.txt"	1
"drug_248.txt"	"drug_248.txt"	1
"drug_25.txt"	"drug_25.txt"	1
"drug_250.txt"	"drug_250.txt"	1
"drug_251.txt"	"drug_251.txt"	1
"drug_252.txt"	"drug_252.txt"	1
"drug_253.txt"	"drug_253.txt"	1
"drug_254.txt"	"drug_254.txt"	1
"drug_259.txt"	"drug_259.txt"	1
"drug_26.txt"	"drug_26.txt"	1
"drug_260.txt"	"drug_260.txt"	1
"drug_263.txt"	"drug_263.txt"	1
"drug_265.txt"	"drug_265.txt"	1
"drug_269.txt"	"drug_269.txt"	1
"drug_270.txt"	"drug_270.txt"	1
"drug_272.txt"	"drug_272.txt"	1
"drug_28.txt"	"drug_28.txt"	1
"drug_285.txt"	"drug_285.txt"	1
"drug_289.txt"	"drug_289.txt"	1
"drug_29.txt"	"drug_29.txt"	1
"drug_290.txt"	"drug_290.txt"	1
"drug_291.txt"	"drug_291.txt"	1
"drug_292.txt"	"drug_292.txt"	1
"drug_293.txt"	"drug_293.txt"	1
"drug_295.txt"	"drug_295.txt"	1
"drug_296.txt"	"drug_296.txt"	1
"drug_297.txt"	"drug_297.txt"	1
"drug_298.txt"	"drug_298.txt"	1
"drug_299.txt"	"drug_299.txt"	1
"drug_3.txt"	"drug_3.txt"	1
"drug_30.txt"	"drug_30.txt"	1
"drug_301.txt"	"drug_301.txt"	1
