	SScmap	SSfisher	SSlincs	SSlincs_Norm	SSpearson_corr	SSspearman_corr	SSzhang	SSzhang_Norm
drug_1.txt	-1.29677983025462	-0.39100921212485995	-0.0041029675667428045	-0.06700506615172397	-0.28336768387639377	-0.24397157471767617	-33.69820971867008	-1.873806584282968

drug_10.txt	-0.137502080213014	-0.40147449678236496	-0.032373046928244414	-0.06767925911290834	-0.2847513484908022	-0.20747520036689598	-38.468883205456095	-2.618274516963421

drug_100.txt	-0.163941587618572	-1.0463410472791854	0.07524545877929728	0.11543547755353178	-0.19998719912385926	-0.03985449024825207	9.1538789428815	-0.1784312273683429

drug_101.txt	-0.112269096355467	1.2221511080549172	0.11842663033706846	0.20812249847681824	-0.1788949002954656	0.09275192100419756	38.96760443307758	0.6863187844025864

drug_102.txt	-0.126759860209686	1.2082981296203497	0.11892087356159114	0.18303178477540116	-0.18828059503072894	0.08702295738442008	31.451832907075875	0.6900745713137455

drug_103.txt	-1.14504077217507	-0.9440941844822912	-0.04456133089558112	-0.09492081990283768	-0.2394036239011185	0.04417030950848445	58.45822676896846	1.9643657492354272

drug_104.txt	-1.21993260109835	-0.8080418321165767	-0.45074543123065314	-0.9386415836967106	-0.29731600367275673	-0.042624710990443744	27.815004262574597	-0.4986636970784697

drug_105.txt	-0.0278166084207023	-1.1139916064470243	-0.06378384305529977	-0.11029870335899894	-0.19504270727133877	0.05962112352695581	52.75831202046036	1.4968758823824564

drug_106.txt	-1.38633300049925	0.8600121637379652	0.09908474857422883	0.1648381689304535	-0.1604375853248715	0.17662394839774004	78.05839727195226	0.9237255549056455

drug_107.txt	-0.24392161757364	-0.6187770991947248	0.05947521484472562	0.114302114046483	-0.195077700523421	-0.015410912137201449	-5.42924126172208	-0.543128506619131

drug_108.txt	-1.15536694957564	-0.29061025668902807	-0.3332938583262929	-0.7520830559055124	-0.267907850233118	-0.12923743518907563	-25.002131287297527	-1.5129324373323694

drug_109.txt	-0.386869695456815	-0.6166211119883391	0.05813593787368476	0.11827024520428958	-0.22748084871162152	-0.07720733304920131	7.985080988917306	-0.989950551581959

drug_11.txt	-1.18213513063738	-0.9027320530796654	-0.03589636232473836	-0.08268090672868683	-0.25580139566080573	-0.1835137064214099	-10.019607843137255	-1.4055950008528524

drug_110.txt	0.0084040605758029	-1.1182060617037377	-0.14051399416477875	-0.26905614130722544	-0.2743146263358421	-0.07925276959024655	-22.065217391304348	-1.8053325145399326

drug_111.txt	-1.03052920619071	-0.7491577235160887	-0.07363729266223662	-0.1693657762226607	-0.2777243791021637	-0.04572892669655289	10.86615515771526	-0.2623961317094636

drug_112.txt	-0.128756864702946	-1.350326698168117	-0.06162441094383728	-0.14057189872449366	-0.2730491012428714	-0.13260242653611953	-12.905797101449275	-1.6601252527315133

drug_113.txt	-1.25938592111832	-0.7543908849955626	-0.11969143776321148	-0.23677914279579598	-0.28582591219286785	-0.13730138892849714	-30.985507246376812	-2.2808708450108837

drug_114.txt	-1.2095939424197	-0.8249809029786175	-0.09460338043440569	-0.16071096931218315	-0.2915158082867669	-0.1774144825219646	-22.215260017050298	-1.7937353047434388

drug_115.txt	-0.051643368280912	-1.3178208614787792	-0.08443245032665697	-0.17720421734196906	-0.28909386991397307	-0.15460732359310736	-30.476555839727194	-1.6977112663932123

drug_116.txt	-0.0428856714927608	-1.2122996435983817	-0.06730245338922042	-0.14329884524048286	-0.28103587455485757	-0.10404671871729886	-3.262148337595908	-1.0172756490782715

drug_117.txt	-1.23580878681977	-0.920145021369024	-0.12959115061204976	-0.23767278470368608	-0.27795010256852837	-0.05879433432413943	12.821398124467178	-0.47012149308141327

drug_118.txt	-1.18253869196206	-1.0953753911442836	-0.09107897797365494	-0.21529202803784897	-0.2795448396818479	-0.02674206239564496	1.2203751065643649	-1.1913666691790272

drug_119.txt	-1.46412880678982	-0.7926135418286754	-0.055389967515058036	-0.11529105715888815	-0.2853906275144088	-0.09737931006642715	-0.6462063086104007	-1.0006788017430581

drug_12.txt	-1.25833749375936	-0.58325499216617	-0.017830835454341415	-0.041524861376938116	-0.2647997338564219	-0.2672069627860263	-54.850383631713555	-1.6936125201906853

drug_120.txt	-1.21344233649526	0.9489859491222721	-0.04314275561234113	-0.09413361714119073	-0.2704044269613736	-0.020514982152087635	-0.6705029838022165	-1.2817404220613977

drug_121.txt	-1.29932601098352	-0.9877963027772013	-0.161049423026611	-0.2642405470896761	-0.2551618508387641	0.004718108963314267	31.407075873827793	0.5749353695673965

drug_122.txt	-0.0549758695290397	-1.1080531980741077	-0.04756251052505922	-0.11876925710191416	-0.27068614989646667	-0.04240527037023701	7.305626598465473	-0.5358321126306039

drug_123.txt	-1.41265601597604	-0.9803586439405243	-0.4264193464448123	-0.9537183399989659	-0.3243196868420249	-0.10580407104371549	-39.08141517476556	-1.1201991607534272

drug_124.txt	1.05753037111	-0.9395908945382847	-0.06402406548678163	-0.10105388449629976	-0.2797311357882671	-0.06536524108421218	0.572463768115942	-0.8333139471684653

drug_125.txt	-0.0721501081710768	-1.0430950877843428	-0.07867705112691528	-0.14956179208403098	-0.2523934872308768	0.027315106589837358	16.963341858482522	-0.1961448484061908

drug_126.txt	0.0312822433017141	-0.7207281163730423	-0.4554735678297416	-0.9705644962691025	-0.31817563205272836	-0.16815187532006273	-13.784313725490197	-1.725368571412637

drug_127.txt	0.0191629222832418	0.9764307852916801	-0.06957498771204401	-0.1419280424970253	-0.24199872565830435	-0.012549787809301513	0.41815856777493604	-1.0460585322738365

drug_128.txt	-0.0829339324346812	-1.0035055024678987	-0.16377143765496405	-0.27105339989856314	-0.28027646183127886	0.04672220329981971	32.1849957374254	0.40273201697059896

drug_129.txt	-0.110292893992345	-0.8430011213789061	-0.1420843099667979	-0.27759673024452625	-0.27014950594806075	0.025080473962881107	31.022591645353792	0.12217696096438992

drug_13.txt	-1.28225162256615	-0.5925560835456123	-0.03652138791702714	-0.11426397209253003	-0.2832844616230021	-0.2907480796447494	-59.61892583120205	-1.909581428829538

