	SScmap	SSfisher	SSlincs	SSlincs_Norm	SSpearson_corr	SSspearman_corr	SSzhang	SSzhang_Norm
10127622.txt	-0.0538733779001179	2.5664234193780677	-0.022872063400855402	-0.008610554870397469	0.11635118243882293	0.10709338776700444	21.70193312434692	-1.25753459484275

10184653.txt	1.64782216465037	0.9809272186989227	0.01980870826624713	0.17640252526641848	0.08071187052739312	0.04975577750236932	21.000261233019852	-0.28044273338007397

10607.txt	-0.0685075524507877	-1.386847786518781	0.016344323448130554	0.11904731106846483	0.04372708255351328	0.024531603120215788	32.005485893416925	0.4886482157139495

119607.txt	-1.34178136059772	-0.5372229372292296	-0.27815837878661126	-1.1271781680323958	-0.13657095337248637	-0.1651235692935773	-0.9764890282131662	-0.7732261881664068

119828.txt	0.358611875737318	-1.1724975230703003	-0.05002790088684948	-0.11727310635913257	0.10844235275980424	0.13862360574469634	38.080198537095086	3.0656331628603093

123631.txt	1.52935971872036	1.1148637746713606	0.21368180732212091	0.8368442437074335	0.16138533721815349	0.16594371947218778	38.523510971786834	1.8265597289561941

12560.txt	1.82428696999838	-0.7151375299302896	-0.2875097772143584	-1.1795635747480029	-0.02182357210552073	-0.04292119268061529	16.294670846394986	0.7235181926122485

135398744.txt	-0.0110938909578775	-0.6126038394313273	-0.045226468747271376	-0.24657882607312337	0.0790168990825016	0.0771123423489101	18.547021943573668	-1.2210543633143667

13791.txt	0.202778099049293	-0.9770503517560772	-0.005783412568802396	-0.0627507438652829	0.010651222064107024	-0.03302471385871546	17.907523510971785	-0.6293064816133304

149096.txt	-1.47805162961764	-0.832470251272321	-0.1993427229268422	-0.8908064567393543	-0.021244527866222336	-0.10155281767150251	31.392110762800417	1.0932800059003225

16231.txt	-1.25202863685781	-0.8282439607749787	0.03192754003901144	0.20171044374814895	0.03727334651569462	0.03632354013268207	50.71473354231975	2.1855627315820403

176870.txt	1.54870116351692	0.5712221156584273	0.2571883934209076	1.0169746730343612	0.14004052719460824	0.14161259750674343	32.3307210031348	0.3312278496637773

19493.txt	0.178824223358238	-0.772135676924069	-0.23583649699022097	-1.050748152560014	0.027594676288375176	0.0840562805278122	17.043887147335422	-1.9247240685886915

2153.txt	-1.74118109689806	-0.9159988437930473	-0.05491033932357586	-0.06732300569003935	-0.040703981404960454	-0.052835897062039804	34.66509926854754	1.526275779008896

2244.txt	1.61426406976475	0.7838911605529375	-4.9218202886877616e-05	0.058426826148296085	0.051446045337483995	-0.0010206313333819348	18.700888192267502	-0.4948490184239809

2520.txt	-0.0457542041590526	1.372093260998889	-0.2977025691476741	-1.1789330539978817	-0.20682815122034834	-0.22472114893927242	5.202716823406479	-0.7933393571026172

2540.txt	0.130392542388564	0.9035703134585549	0.22442820711204609	0.8969513101628096	0.005675424163659301	-0.007709411678938543	28.82967607105538	0.5981127990908931

2554.txt	1.58550924105387	0.20490483563691692	0.32387165970717874	1.3219962422726164	0.3154859977604754	0.3266567033607931	53.0953500522466	2.4527889732988934

2581.txt	-0.0863153755406999	-1.022878008951679	-0.035745899417011284	-0.05346527612263541	-0.02570798504615309	-0.054731355252606244	0.9843260188087775	-0.8448107483614236

2724385.txt	-1.89035067428466	1.0947755552375695	0.045155398352897544	0.23153670751838656	-0.06244069746581068	0.00189545819056645	30.239289446186	0.42470271122931835

2733526.txt	0.0217957021581735	0.31996624105167737	0.010234676726955827	0.13194232078937185	-0.057866553913520274	-0.12495443610118828	8.806165099268547	-1.1193090561480425

2796.txt	1.50651731396452	-0.752440331654415	-0.024480329162919964	-0.04910730381299816	0.03523283683602227	-0.010315666690967411	14.328631138975966	-0.6094139950085427

2907.txt	-1.64790081191737	0.8960255606261451	0.002235060762401861	0.07057332279549183	0.051274446010257796	0.09375227819494057	34.970741901776385	1.387121436150609

3016.txt	1.77827831879901	0.4730286406345639	0.28846677297891826	1.1952447952409921	0.23140510346016008	0.24092367135671064	36.96212121212121	0.7844843133012808

3019.txt	-0.000217436561726569	-0.8298902382365372	-0.006683730610711855	0.012116771641531243	0.04166075783221481	0.04696726689509368	33.685475444096134	1.2137159927311727

3034010.txt	-0.0475966320464483	-0.7246734235038066	-0.2763614274887576	-1.1569423526964098	-0.16619285833510775	-0.1707552671867026	15.531870428422152	-0.43448693300195673

3059.txt	-1.51542411695311	-0.8510982707645609	-0.02359804760135445	-0.10333942979289196	-0.14004093086846742	-0.1304221039585915	6.662225705329154	0.05697260990114138

31307.txt	0.150024288126576	0.8423594996914063	0.018791239571607513	0.13326386672506507	0.002631106283911772	0.04570970328789093	17.336206896551722	-0.7980360089121274

3182.txt	-0.311384191899332	1.078999150846558	0.05002464590987739	0.1591548070795336	0.08697328265539477	0.09597579645695122	30.566091954022987	1.2256959874172386

3308.txt	1.53394092202355	-0.7237243620235776	-0.2971529515358463	-1.241243249049591	-0.016823906904736237	-0.05852227163373915	6.041274817136886	-0.48284337835425734

3394.txt	1.32146029469594	1.024533562186977	0.0019959533402592183	0.05453803487067471	0.05967338544896198	0.051614784573886414	41.04676071055381	2.4788630908824185

3463.txt	-1.70690014110245	0.5893458780857508	-0.004792225504456488	0.07964308189409075	-0.0842942474786781	-0.11870306918422395	7.828369905956113	-1.8309723853585738

36462.txt	-0.230338183248132	-0.8928240283997286	-0.13996806165007897	-0.6931632558823647	-0.07863474138588879	-0.06705183349128818	4.4446185997910135	-1.9080592153384142

3690.txt	-0.103631653211816	0.8751972802629537	0.00420954451754782	0.06923224579724252	0.04832762052010964	0.055223445359772534	28.91248693834901	1.5383674207891929

3715.txt	0.0472866692882422	-0.3794170971613719	-0.361824161045079	-1.452625112182242	-0.15128747493567116	-0.12827148793467957	6.381661442006269	-0.40520920074471617

3825.txt	-1.79952811639796	-0.8394994269991684	-0.1655349144620228	-0.8689906815067123	-0.05912897304970685	0.021232776846249177	26.062434691745036	-0.05049283665569373

3869.txt	-1.54459762670306	-0.8929990154902065	-0.056960106882135875	-0.11052598653777057	-0.16464706259089512	-0.1175366333746446	26.402298850574713	0.6195454835491168

39147.txt	-0.0609227174943906	0.8544953427556565	0.08508147956006272	0.303902684123913	0.12480779697781576	0.1418130786615149	11.228317659352141	-1.9435353121057473

392622.txt	-1.77632717263075	-0.5640979645289985	-0.23898149874054328	-1.0094141774980179	-0.18833725399985232	-0.20669607056936648	-2.618599791013584	-2.597598307122469

39912.txt	-1.64408641946751	-0.6475222267524458	-0.2757135045049355	-1.1327491230048623	-0.09851853787290954	-0.1159145585769483	-11.570271682340648	-2.217269168202618

