	SScmap	SSfisher	SSlincs	SSlincs_Norm	SSpearson_corr	SSspearman_corr	SSzhang	SSzhang_Norm
10127622.txt	-0.211428141842659	-2.494675434170241	0.17082068219997248	0.2560289754060027	0.21502130505891517	0.2187271062271062	-78.58605769230769	1.6926272809276013

10184653.txt	-0.0754030672434133	0.7644751430162644	0.09286242602384218	0.022914759120301387	-0.1292665396236813	-0.14125457875457875	-70.52019230769231	0.9606876358364146

10607.txt	-1.76248525363744	0.6244630416360436	-0.30841907642722566	-0.9805038975313302	-0.0502511988723254	-0.055998168498168494	-119.05576923076923	-1.6358062976494478

119607.txt	1.51939965919518	0.6935824350868347	-0.12639986280793336	-0.1992627419148837	-0.0920330800644107	-0.10425824175824173	-39.91153846153846	-0.6577402609626215

119828.txt	1.81321274085726	-0.9849256491038462	-0.2264515439283361	-0.8259939049843605	-0.05236098810807221	-0.008150183150183149	-98.6610576923077	-0.036616862602207215

123631.txt	0.00268904258518199	0.5940440473302979	0.05380368363424459	-0.10383196778655546	0.061399473508844914	0.026465201465201465	-94.82019230769231	-1.4267448211242018

12560.txt	-0.185607550137633	0.39781523467458246	0.11555696602111004	0.14809469683399024	0.07050318913429873	0.04826007326007325	-58.84230769230769	-1.2124459723232344

135398744.txt	-1.75697416205963	-0.4006505027643739	-0.07474567126287801	-0.5120100298611727	-0.1870939511241182	-0.10938644688644689	-129.3875	-4.7480752399707855

13791.txt	-1.77827831879901	-0.700741710813195	-0.21374441715662904	-0.9349513316241984	-0.14411594411586598	-0.15398351648351646	-100.0639423076923	-0.7998759527753962

149096.txt	0.0376581619671069	-0.8342558773142306	-0.2264619583878725	-0.7916442131626492	-0.07778055070557349	-0.0842032967032967	-56.19951923076923	0.4909819946154365

16231.txt	0.217031759616941	0.8264951607609575	0.1472381622928341	0.27069348488577155	0.22307152941534286	0.20618131868131864	-84.38798076923077	0.27678496245113055

176870.txt	1.51297487142714	-0.09705024933102654	0.04374203665657217	-0.08818142222062642	-0.04565282933617258	-0.04500915750915751	-93.90432692307692	-0.5205468036129882

19493.txt	-0.185896694501631	0.7068596581765334	0.06750036179514234	-0.0022720965642221147	0.07673904584765925	0.12605311355311355	-88.27596153846154	-0.2777764357191947

2153.txt	1.51976012583563	-0.769322447823614	-0.2586739175742391	-0.9592822238055498	0.0318930307903981	-0.010164835164835165	-36.16105769230769	0.4454368258340077

2244.txt	1.36767404563084	0.3539948890743616	0.43023485160300656	1.543574483120607	0.21671705824393994	0.11666666666666664	-22.290865384615383	2.135561892453357

2520.txt	-1.81596539520252	-0.7079077029415887	0.02837332230216784	-0.12974995937076378	-0.20560137837898473	-0.15293040293040291	-81.64759615384615	-1.9105855489437649

2540.txt	-0.223421850061299	0.6536323662629919	0.31269708159980225	0.9646650159303991	0.3615000240060684	0.36909340659340656	-32.90144230769231	2.2664312967471325

