	SScmap	SSfisher	SSlincs	SSlincs_Norm	SSpearson_corr	SSspearman_corr	SSzhang	SSzhang_Norm
10127622.txt	1.39815178922532	2.9385477867934284	0.2898378223068452	0.8713598703914329	0.13861649206236573	0.06969696969696969	146.89951690821255	1.0551292380272426

10184653.txt	1.87170664569406	0.5975929382683601	0.12957121447034428	0.09601084533139459	0.11062878987987922	0.08603425559947299	75.8695652173913	-0.7517181074768464

10607.txt	0.0160243806527722	0.5890521456626865	-0.11843728977174928	-0.09531868020217626	-0.09310483458895288	-0.042292490118577074	112.81642512077295	-0.13091722795952315

119607.txt	1.45269366889501	1.1543258132398166	-0.26220517437987945	-0.8069985680483684	-0.09726661851363644	-0.10474308300395258	58.80966183574879	0.15225244320786785

119828.txt	0.340601651592607	-1.060234476488689	-0.12679306961610387	-0.14251169507061212	-0.14168558016256877	-0.15862977602108033	107.2415458937198	-0.23078210952193345

123631.txt	1.32441997640582	-1.1804150377689597	-0.09186119474456808	-0.07012928799437179	0.00954250789608688	0.04387351778656126	110.63961352657005	1.1560521204035932

12560.txt	-1.46036177742823	1.2193594874207645	-0.05006302507323511	0.09031453228350983	-0.19336667496129195	-0.13715415019762844	13.83574879227053	-1.1962290932445738

135398744.txt	-1.29510420762878	-1.026694338234332	-0.036520570747760286	0.06501978182853546	-0.0759182171691553	-0.08524374176548088	119.53623188405797	0.6511172951813753

13791.txt	-1.23891073535195	1.1873301595805381	0.20416857837323432	0.7468063295614243	0.0692425211226277	-0.04835309617918313	78.55458937198068	-0.7579381997151153

149096.txt	0.108336610302792	1.1166721921105252	0.017435150205046837	-0.14248846071869992	0.07284444157383717	0.0303030303030303	58.266666666666666	-0.48157599654431027

16231.txt	-0.227251278018089	-0.6612411854875403	-0.2842128652657412	-0.8745979502503076	-0.17574105467717976	-0.11449275362318839	40.70434782608696	-2.697494293791529

176870.txt	1.36567046795124	0.24741145203490994	0.13136864839884568	0.128686230861219	0.18229251365832225	0.14848484848484847	128.8038647342995	0.7565878026528216

19493.txt	1.18155721588675	1.1532866827624808	-0.0955069182648782	-0.1455078116839748	0.17234265582932512	0.09617918313570485	127.06763285024155	0.4671020330343048

2153.txt	-0.601356665355879	1.016479315636897	0.037212135530083415	-0.0422144827890647	0.03757624175085108	0.0898550724637681	76.63091787439613	1.1785749343739647

2244.txt	1.72709398348407	0.9034500034567979	0.12810969302499442	0.16099537953803722	0.2992344324091308	0.3162055335968379	119.85893719806764	0.9854888612581731

2520.txt	1.38959889893826	-1.2937874532827704	0.25808032770115363	0.8256803336682231	-0.034479670094240196	-0.04361001317523057	102.64251207729468	0.39621821514421657

