IMPA2	1
EGLN3	0.888256747811504
Ero1l	0.856160919940687
SELENBP1	0.747788536293394
Gm47507	0.691276069272901
BNIP3	0.498709571007516
P4HA1	0.121749912730549
EIF4EBP1	0.0246067470620188
FBXL5	-0.0187982176351073
SERPINE1	-0.0535984810602059
Mt2	-0.0995380817958477
PDIA4	-0.150706358944864
RBPMS	-0.23063278701091
Cxcl3	-0.279287168519097
KLF7	-0.321871691698137
DOK2	-0.333020937609858
Pilra	-0.389667740412076
LYAR	-0.391524589790272
ME2	-0.50289871264389
CCDC47	-0.536559358772309
CCND2	-0.584973816476586
GBE1	-0.596490248125485
FAM162A	-0.613789077885935
HIGD1A	-0.622429390603256
MTHFD1L	-0.666281952436969
BNIP3L	-0.716147044885077
TDRD7	-0.75470307056111
PGM1	-0.883389969398288
Gm11290	-0.962972038546289
NDRG1	-1
