"SSlincs"	"SSlincs_Norm"	"SSpearson_corr"	"SSspearman_corr"	"SSzhang"	"SSzhang_Norm"
"drug_1.txt"	0.667338709677419	0.798387096774194	0.366935483870968	0.155241935483871	0.997983870967742	0.983870967741935
"drug_10.txt"	0.848790322580645	0.788306451612903	0.387096774193548	0.175403225806452	0.574596774193548	0.356854838709677
"drug_100.txt"	0.985887096774194	0.951612903225806	0.975806451612903	0.354838709677419	0.631048387096774	0.362903225806452
"drug_101.txt"	0.338709677419355	0.423387096774194	0.840725806451613	0.387096774193548	0.721774193548387	0.701612903225806
"drug_102.txt"	0.360887096774194	0.465725806451613	0.963709677419355	0.304435483870968	0.217741935483871	0.25
"drug_103.txt"	0.61491935483871	0.55241935483871	0.814516129032258	0.129032258064516	0.459677419354839	0.409274193548387
"drug_104.txt"	0.69758064516129	0.67741935483871	0.969758064516129	0.295362903225806	0.19758064516129	0.092741935483871
"drug_105.txt"	0.838709677419355	0.721774193548387	0.842741935483871	0.272177419354839	0.471774193548387	0.530241935483871
"drug_106.txt"	0.334677419354839	0.42741935483871	0.993951612903226	0.862903225806452	0.112903225806452	0.0141129032258065
"drug_107.txt"	0.651209677419355	0.647177419354839	0.897177419354839	0.766129032258065	0.653225806451613	0.633064516129032
"drug_108.txt"	0.75	0.731854838709677	0.987903225806452	0.893145161290323	0.776209677419355	0.826612903225806
"drug_109.txt"	0.679435483870968	0.612903225806452	1	0.881048387096774	0.711693548387097	0.675403225806452
"drug_11.txt"	0.991935483870968	0.995967741935484	0.5625	0.350806451612903	0.800403225806452	0.63508064516129
"drug_110.txt"	0.342741935483871	0.421370967741935	0.899193548387097	0.983870967741935	0.278225806451613	0.1875
"drug_111.txt"	0.580645161290323	0.61491935483871	0.92741935483871	1	0.38508064516129	0.544354838709677
"drug_112.txt"	0.288306451612903	0.336693548387097	0.921370967741935	0.987903225806452	0.221774193548387	0.280241935483871
"drug_113.txt"	0.669354838709677	0.675403225806452	0.887096774193548	0.979838709677419	0.629032258064516	0.588709677419355
"drug_114.txt"	0.897177419354839	0.9375	0.915322580645161	0.991935483870968	0.554435483870968	0.574596774193548
"drug_115.txt"	0.308467741935484	0.417338709677419	0.872983870967742	0.959677419354839	0.548387096774194	0.433467741935484
"drug_116.txt"	0.300403225806452	0.399193548387097	0.881048387096774	0.973790322580645	0.358870967741935	0.346774193548387
"drug_117.txt"	0.264112903225806	0.304435483870968	0.848790322580645	0.925403225806452	0.229838709677419	0.342741935483871
"drug_118.txt"	0.703629032258065	0.657258064516129	0.8125	0.903225806451613	0.241935483870968	0.352822580645161
"drug_119.txt"	0.241935483870968	0.284274193548387	0.671370967741935	0.645161290322581	0.185483870967742	0.274193548387097
"drug_12.txt"	0.578629032258065	0.554435483870968	0.616935483870968	0.796370967741935	0.235887096774194	0.502016129032258
"drug_120.txt"	0.330645161290323	0.445564516129032	0.820564516129032	0.905241935483871	0.108870967741935	0.00403225806451613
"drug_121.txt"	0.356854838709677	0.463709677419355	0.770161290322581	0.705645161290323	0.149193548387097	0.231854838709677
"drug_122.txt"	0.663306451612903	0.713709677419355	0.860887096774194	0.9375	0.582661290322581	0.618951612903226
"drug_123.txt"	0.774193548387097	0.723790322580645	0.73991935483871	0.673387096774194	0.403225806451613	0.600806451612903
"drug_124.txt"	0.673387096774194	0.778225806451613	0.764112903225806	0.743951612903226	0.618951612903226	0.598790322580645
"drug_125.txt"	0.389112903225806	0.477822580645161	0.756048387096774	0.792338709677419	0.473790322580645	0.340725806451613
"drug_126.txt"	0.721774193548387	0.754032258064516	0.741935483870968	0.735887096774194	0.61491935483871	0.528225806451613
"drug_127.txt"	0.643145161290323	0.643145161290323	0.737903225806452	0.776209677419355	0.689516129032258	0.294354838709677
"drug_128.txt"	0.983870967741935	0.967741935483871	0.774193548387097	0.61491935483871	0.743951612903226	0.770161290322581
"drug_129.txt"	0.977822580645161	0.983870967741935	0.778225806451613	0.933467741935484	0.320564516129032	0.338709677419355
"drug_13.txt"	0.612903225806452	0.625	0.631048387096774	0.816532258064516	0.372983870967742	0.377016129032258
"drug_130.txt"	0.719758064516129	0.691532258064516	0.786290322580645	0.768145161290323	0.342741935483871	0.417338709677419
"drug_131.txt"	0.981854838709677	0.963709677419355	0.784274193548387	0.671370967741935	0.310483870967742	0.171370967741935
"drug_132.txt"	0.9375	0.911290322580645	0.689516129032258	0.477822580645161	0.183467741935484	0.247983870967742
"drug_133.txt"	0.596774193548387	0.592741935483871	0.82258064516129	0.840725806451613	0.26008064516129	0.173387096774194
"drug_134.txt"	0.306451612903226	0.358870967741935	0.780241935483871	0.782258064516129	0.0383064516129032	0.0342741935483871
"drug_135.txt"	0.842741935483871	0.792338709677419	0.862903225806452	0.891129032258065	0.395161290322581	0.0604838709677419
