"Name"	"Score"
"drug_275.txt"	"drug_275.txt"	3.03907439346643e-05
"drug_239.txt"	"drug_239.txt"	6.09815350184295e-05
"drug_240.txt"	"drug_240.txt"	7.17180993966791e-05
"drug_446.txt"	"drug_446.txt"	0.000163024132886114
"drug_79.txt"	"drug_79.txt"	0.000183148677541407
"drug_241.txt"	"drug_241.txt"	0.000363867493749397
"drug_430.txt"	"drug_430.txt"	0.000485470028715296
"drug_420.txt"	"drug_420.txt"	0.00093206936419887
"drug_438.txt"	"drug_438.txt"	0.000981768574908135
"drug_449.txt"	"drug_449.txt"	0.00098419189453125
"drug_280.txt"	"drug_280.txt"	0.00108781047191798
"drug_225.txt"	"drug_225.txt"	0.00114430806755888
"drug_221.txt"	"drug_221.txt"	0.00114918283927659
"drug_400.txt"	"drug_400.txt"	0.00158096251684869
"drug_53.txt"	"drug_53.txt"	0.00165816404263334
"drug_226.txt"	"drug_226.txt"	0.00185694676365589
"drug_425.txt"	"drug_425.txt"	0.00203579976505495
"drug_331.txt"	"drug_331.txt"	0.00233286701002164
"drug_461.txt"	"drug_461.txt"	0.00254973262893993
"drug_348.txt"	"drug_348.txt"	0.00290636391645397
"drug_396.txt"	"drug_396.txt"	0.00374317996772342
"drug_141.txt"	"drug_141.txt"	0.0040650063822313
"drug_463.txt"	"drug_463.txt"	0.00496961470489946
"drug_464.txt"	"drug_464.txt"	0.00558793544769287
"drug_445.txt"	"drug_445.txt"	0.00580776160876829
"drug_138.txt"	"drug_138.txt"	0.00618149208524039
"drug_378.txt"	"drug_378.txt"	0.00651094366008736
"drug_345.txt"	"drug_345.txt"	0.00728368706706787
"drug_242.txt"	"drug_242.txt"	0.00755765073606537
"drug_390.txt"	"drug_390.txt"	0.00784014833768035
"drug_440.txt"	"drug_440.txt"	0.00843159465146922
"drug_216.txt"	"drug_216.txt"	0.00874097782203782
"drug_455.txt"	"drug_455.txt"	0.00912838835273343
"drug_118.txt"	"drug_118.txt"	0.0100748329482516
"drug_273.txt"	"drug_273.txt"	0.011182957673563
"drug_338.txt"	"drug_338.txt"	0.011182957673563
"drug_277.txt"	"drug_277.txt"	0.0119767007479037
"drug_436.txt"	"drug_436.txt"	0.0121711635328981
"drug_284.txt"	"drug_284.txt"	0.0126052364913857
"drug_428.txt"	"drug_428.txt"	0.0126052364913857
"drug_470.txt"	"drug_470.txt"	0.0129489359016591
"drug_136.txt"	"drug_136.txt"	0.0132549891728455
"drug_465.txt"	"drug_465.txt"	0.0137958307998373
"drug_447.txt"	"drug_447.txt"	0.0141687859912477
"drug_407.txt"	"drug_407.txt"	0.014759318186284
"drug_134.txt"	"drug_134.txt"	0.0150722691203247
"drug_278.txt"	"drug_278.txt"	0.0150722691203247
"drug_459.txt"	"drug_459.txt"	0.0161544271385764
"drug_389.txt"	"drug_389.txt"	0.016438828884594
"drug_355.txt"	"drug_355.txt"	0.0172616722287018
"drug_264.txt"	"drug_264.txt"	0.0178999005972226
"drug_69.txt"	"drug_69.txt"	0.0200743550493511
"drug_443.txt"	"drug_443.txt"	0.0208259607468222
"drug_276.txt"	"drug_276.txt"	0.0214818446226467
"drug_334.txt"	"drug_334.txt"	0.0214818446226467
"drug_140.txt"	"drug_140.txt"	0.0224242116058897
"drug_177.txt"	"drug_177.txt"	0.0224242116058897
"drug_483.txt"	"drug_483.txt"	0.0224242116058897
